D,T,C
19/09/05,10:00:38,2.9876942000000004
19/09/05,10:00:39,3.1792852
19/09/05,10:00:40,3.4360474999999995
19/09/05,10:00:41,3.4638607
19/09/05,10:00:42,3.6867283000000004
19/09/05,10:00:43,4.045729699999999
19/09/05,10:00:44,4.6400041
19/09/05,10:00:45,4.7255665
19/09/05,10:00:46,4.6104072
19/09/05,10:00:47,4.9230369000000005
19/09/05,10:00:48,5.4972976000000005
19/09/05,10:00:49,6.0495987000000015
19/09/05,10:00:50,6.0025091
19/09/05,10:00:51,6.018570700000001
19/09/05,10:00:52,6.0187791
19/09/05,10:00:53,5.9888945
19/09/05,10:00:54,6.0459113
19/09/05,10:00:55,6.0036132
19/09/05,10:00:56,4.7364444
19/09/05,10:00:57,4.0817057
19/09/05,10:00:58,3.8525467999999994
19/09/05,10:00:59,5.8311046
19/09/05,10:01:00,5.966330699999999
19/09/05,10:01:01,6.043286900000002
